Reel ID,Title,Date Posted,Views,Likes,Comments,Shares,Saves,Reach,Engagement Rate
R001,Morning Routine Tips,2024-01-15,45230,3421,287,892,1205,38450,12.8
R002,Quick Recipe: Pasta,2024-01-18,62150,4892,412,1340,2103,51200,14.2
R003,Workout Challenge,2024-01-22,38920,2910,198,654,890,32100,11.7
R004,Travel Vlog: Paris,2024-01-25,91340,7234,651,2103,3421,78900,14.8
R005,Product Review: Tech,2024-01-29,55670,4103,342,1120,1567,47300,12.6
R006,Dance Challenge,2024-02-01,128450,10234,892,3567,4892,105600,15.2
R007,Life Hacks,2024-02-05,73890,5621,478,1892,2340,62100,14.1
R008,Behind the Scenes,2024-02-08,42310,3190,267,821,1103,36700,12.7
R009,Fashion Trends,2024-02-12,67230,5234,445,1567,2103,56800,13.9
R010,Motivational Speech,2024-02-15,58920,4567,389,1234,1678,50100,13.2
R011,Pet Compilation,2024-02-19,94560,7892,723,2567,3421,81200,15.5
R012,DIY Project,2024-02-22,51340,3821,321,1103,1456,43900,12.9
R013,Comedy Skit,2024-02-26,87650,6892,612,2234,2987,74300,14.7
R014,Music Cover,2024-03-01,76230,6103,534,1892,2456,65400,14.4
R015,Transformation Story,2024-03-05,103450,8567,734,2892,3765,89200,15.3
